Temperature,Salinity,Day,Survival ,Origin
16,35,0,100,Red
16,40,0,100,Red
16,43,0,100,Red
25,35,0,100,Red
25,40,0,100,Red
25,43,0,100,Red
31,35,0,100,Red
31,40,0,100,Red
31,43,0,100,Red
16,35,1,100,Red
16,40,1,100,Red
16,43,1,50,Red
25,35,1,100,Red
25,40,1,60,Red
25,43,1,80,Red
31,35,1,83,Red
31,40,1,100,Red
31,43,1,100,Red
16,35,3,100,Red
16,40,3,100,Red
16,43,3,50,Red
25,35,3,80,Red
25,40,3,40,Red
25,43,3,80,Red
31,35,3,83,Red
31,40,3,100,Red
31,43,3,83,Red
16,35,5,60,Red
16,40,5,80,Red
16,43,5,33,Red
25,35,5,80,Red
25,40,5,20,Red
25,43,5,80,Red
31,35,5,83,Red
31,40,5,100,Red
31,43,5,83,Red
16,35,7,60,Red
16,40,7,80,Red
16,43,7,17,Red
25,35,7,80,Red
25,40,7,20,Red
25,43,7,80,Red
31,35,7,83,Red
31,40,7,100,Red
31,43,7,67,Red
16,35,10,20,Red
16,40,10,40,Red
16,43,10,0,Red
25,35,10,80,Red
25,40,10,20,Red
25,43,10,80,Red
31,35,10,83,Red
31,40,10,100,Red
31,43,10,67,Red
16,35,12,0,Red
16,40,12,20,Red
16,43,12,0,Red
25,35,12,80,Red
25,40,12,20,Red
25,43,12,80,Red
31,35,12,83,Red
31,40,12,100,Red
31,43,12,67,Red
16,35,14,0,Red
16,40,14,20,Red
16,43,14,0,Red
25,35,14,80,Red
25,40,14,20,Red
25,43,14,80,Red
31,35,14,83,Red
31,40,14,100,Red
31,43,14,67,Red
16,35,17,0,Red
16,40,17,20,Red
16,43,17,0,Red
25,35,17,80,Red
25,40,17,20,Red
25,43,17,80,Red
31,35,17,83,Red
31,40,17,100,Red
31,43,17,67,Red
16,35,19,0,Red
16,40,19,20,Red
16,43,19,0,Red
25,35,19,80,Red
25,40,19,20,Red
25,43,19,80,Red
31,35,19,67,Red
31,40,19,100,Red
31,43,19,67,Red
16,35,21,0,Red
16,40,21,20,Red
16,43,21,0,Red
25,35,21,80,Red
25,40,21,20,Red
25,43,21,80,Red
31,35,21,67,Red
31,40,21,100,Red
31,43,21,67,Red
16,35,24,0,Red
16,40,24,20,Red
16,43,24,0,Red
25,35,24,80,Red
25,40,24,20,Red
25,43,24,80,Red
31,35,24,50,Red
31,40,24,100,Red
31,43,24,67,Red
16,35,26,0,Red
16,40,26,20,Red
16,43,26,0,Red
25,35,26,60,Red
25,40,26,20,Red
25,43,26,80,Red
31,35,26,50,Red
31,40,26,100,Red
31,43,26,67,Red
16,35,28,0,Red
16,40,28,0,Red
16,43,28,0,Red
25,35,28,40,Red
25,40,28,20,Red
25,43,28,80,Red
31,35,28,50,Red
31,40,28,100,Red
31,43,28,67,Red
16,35,0,100,Med
16,40,0,100,Med
16,43,0,100,Med
25,35,0,100,Med
25,40,0,100,Med
25,43,0,100,Med
31,35,0,100,Med
31,40,0,100,Med
31,43,0,100,Med
16,35,1,60,Med
16,40,1,100,Med
16,43,1,100,Med
25,35,1,83,Med
25,40,1,80,Med
25,43,1,80,Med
31,35,1,17,Med
31,40,1,100,Med
31,43,1,80,Med
16,35,3,60,Med
16,40,3,100,Med
16,43,3,100,Med
25,35,3,50,Med
25,40,3,80,Med
25,43,3,80,Med
31,35,3,0,Med
31,40,3,80,Med
31,43,3,60,Med
16,35,5,0,Med
16,40,5,40,Med
16,43,5,60,Med
25,35,5,17,Med
25,40,5,60,Med
25,43,5,80,Med
31,35,5,0,Med
31,40,5,80,Med
31,43,5,60,Med
16,35,7,0,Med
16,40,7,40,Med
16,43,7,40,Med
25,35,7,17,Med
25,40,7,60,Med
25,43,7,80,Med
31,35,7,0,Med
31,40,7,80,Med
31,43,7,60,Med
16,35,10,0,Med
16,40,10,0,Med
16,43,10,20,Med
25,35,10,17,Med
25,40,10,60,Med
25,43,10,80,Med
31,35,10,0,Med
31,40,10,60,Med
31,43,10,60,Med
16,35,12,0,Med
16,40,12,0,Med
16,43,12,0,Med
25,35,12,17,Med
25,40,12,60,Med
25,43,12,80,Med
31,35,12,0,Med
31,40,12,40,Med
31,43,12,60,Med
16,35,14,0,Med
16,40,14,0,Med
16,43,14,0,Med
25,35,14,0,Med
25,40,14,60,Med
25,43,14,80,Med
31,35,14,0,Med
31,40,14,40,Med
31,43,14,60,Med
16,35,17,0,Med
16,40,17,0,Med
16,43,17,0,Med
25,35,17,0,Med
25,40,17,60,Med
25,43,17,80,Med
31,35,17,0,Med
31,40,17,40,Med
31,43,17,60,Med
16,35,19,0,Med
16,40,19,0,Med
16,43,19,0,Med
25,35,19,0,Med
25,40,19,60,Med
25,43,19,60,Med
31,35,19,0,Med
31,40,19,20,Med
31,43,19,60,Med
16,35,21,0,Med
16,40,21,0,Med
16,43,21,0,Med
25,35,21,0,Med
25,40,21,60,Med
25,43,21,60,Med
31,35,21,0,Med
31,40,21,20,Med
31,43,21,60,Med
16,35,24,0,Med
16,40,24,0,Med
16,43,24,0,Med
25,35,24,0,Med
25,40,24,60,Med
25,43,24,60,Med
31,35,24,0,Med
31,40,24,0,Med
31,43,24,60,Med
16,35,26,0,Med
16,40,26,0,Med
16,43,26,0,Med
25,35,26,0,Med
25,40,26,40,Med
25,43,26,60,Med
31,35,26,0,Med
31,40,26,0,Med
31,43,26,60,Med
16,35,28,0,Med
16,40,28,0,Med
16,43,28,0,Med
25,35,28,0,Med
25,40,28,40,Med
25,43,28,60,Med
31,35,28,0,Med
31,40,28,0,Med
31,43,28,60,Med
16,28,0,100,Singapore
16,31,0,100,Singapore
16,35,0,100,Singapore
16,40,0,100,Singapore
25,28,0,100,Singapore
25,31,0,100,Singapore
25,35,0,100,Singapore
25,40,0,100,Singapore
31,28,0,100,Singapore
31,31,0,100,Singapore
31,35,0,100,Singapore
31,40,0,100,Singapore
16,28,1,100,Singapore
16,31,1,100,Singapore
16,35,1,100,Singapore
16,40,1,100,Singapore
25,28,1,100,Singapore
25,31,1,100,Singapore
25,35,1,100,Singapore
25,40,1,100,Singapore
31,28,1,100,Singapore
31,31,1,100,Singapore
31,35,1,100,Singapore
31,40,1,100,Singapore
16,28,3,100,Singapore
16,31,3,87,Singapore
16,35,3,80,Singapore
16,40,3,100,Singapore
25,28,3,100,Singapore
25,31,3,100,Singapore
25,35,3,100,Singapore
25,40,3,100,Singapore
31,28,3,100,Singapore
31,31,3,100,Singapore
31,35,3,100,Singapore
31,40,3,100,Singapore
16,28,5,33,Singapore
16,31,5,53,Singapore
16,35,5,47,Singapore
16,40,5,67,Singapore
25,28,5,100,Singapore
25,31,5,100,Singapore
25,35,5,100,Singapore
25,40,5,100,Singapore
31,28,5,100,Singapore
31,31,5,100,Singapore
31,35,5,100,Singapore
31,40,5,100,Singapore
16,28,7,7,Singapore
16,31,7,33,Singapore
16,35,7,47,Singapore
16,40,7,60,Singapore
25,28,7,100,Singapore
25,31,7,100,Singapore
25,35,7,100,Singapore
25,40,7,100,Singapore
31,28,7,100,Singapore
31,31,7,100,Singapore
31,35,7,100,Singapore
31,40,7,100,Singapore
16,28,10,0,Singapore
16,31,10,27,Singapore
16,35,10,40,Singapore
16,40,10,53,Singapore
25,28,10,100,Singapore
25,31,10,100,Singapore
25,35,10,93,Singapore
25,40,10,100,Singapore
31,28,10,100,Singapore
31,31,10,100,Singapore
31,35,10,100,Singapore
31,40,10,100,Singapore
16,28,12,0,Singapore
16,31,12,27,Singapore
16,35,12,40,Singapore
16,40,12,53,Singapore
25,28,12,100,Singapore
25,31,12,100,Singapore
25,35,12,93,Singapore
25,40,12,100,Singapore
31,28,12,100,Singapore
31,31,12,100,Singapore
31,35,12,100,Singapore
31,40,12,100,Singapore
16,28,14,0,Singapore
16,31,14,27,Singapore
16,35,14,33,Singapore
16,40,14,47,Singapore
25,28,14,100,Singapore
25,31,14,100,Singapore
25,35,14,93,Singapore
25,40,14,100,Singapore
31,28,14,100,Singapore
31,31,14,100,Singapore
31,35,14,100,Singapore
31,40,14,100,Singapore
16,28,17,0,Singapore
16,31,17,27,Singapore
16,35,17,33,Singapore
16,40,17,47,Singapore
25,28,17,100,Singapore
25,31,17,100,Singapore
25,35,17,93,Singapore
25,40,17,100,Singapore
31,28,17,100,Singapore
31,31,17,100,Singapore
31,35,17,100,Singapore
31,40,17,100,Singapore
16,28,19,0,Singapore
16,31,19,27,Singapore
16,35,19,33,Singapore
16,40,19,47,Singapore
25,28,19,100,Singapore
25,31,19,100,Singapore
25,35,19,93,Singapore
25,40,19,100,Singapore
31,28,19,100,Singapore
31,31,19,100,Singapore
31,35,19,100,Singapore
31,40,19,100,Singapore
16,28,21,0,Singapore
16,31,21,27,Singapore
16,35,21,33,Singapore
16,40,21,47,Singapore
25,28,21,100,Singapore
25,31,21,100,Singapore
25,35,21,93,Singapore
25,40,21,100,Singapore
31,28,21,100,Singapore
31,31,21,100,Singapore
31,35,21,100,Singapore
31,40,21,100,Singapore
16,28,24,0,Singapore
16,31,24,27,Singapore
16,35,24,33,Singapore
16,40,24,47,Singapore
25,28,24,100,Singapore
25,31,24,100,Singapore
25,35,24,93,Singapore
25,40,24,100,Singapore
31,28,24,100,Singapore
31,31,24,100,Singapore
31,35,24,100,Singapore
31,40,24,100,Singapore
16,28,26,0,Singapore
16,31,26,0,Singapore
16,35,26,33,Singapore
16,40,26,47,Singapore
25,28,26,100,Singapore
25,31,26,100,Singapore
25,35,26,93,Singapore
25,40,26,100,Singapore
31,28,26,100,Singapore
31,31,26,100,Singapore
31,35,26,100,Singapore
31,40,26,100,Singapore
16,28,28,0,Singapore
16,31,28,0,Singapore
16,35,28,33,Singapore
16,40,28,47,Singapore
25,28,28,100,Singapore
25,31,28,100,Singapore
25,35,28,93,Singapore
25,40,28,100,Singapore
31,28,28,100,Singapore
31,31,28,100,Singapore
31,35,28,100,Singapore
31,40,28,100,Singapore